W00201000386,IDP000038627,25 May 2015,(PA) Dihapuskan - Piutang Lunas,50.2318,24-Jun-10,5-Feb-10,12-Jun-09,"2008-181216 11 Jul 2008 JP
",B22D 18/04,"1) NICHIAS CORPORATION
2) TOYOTA JIDOSHA KABUSHIKI KAISHA"
W00201102544,IDP000033636,10 May 2013,(PA) Diberi Paten,51.4636,6-Oct-11,14-Jul-11,14-Jan-10,"2009-006985 15 Jan 2009 JP
","B21D 28/30,F01D 25/24,F01D 9/02","1) TOYOTA JIDOSHA KABUSHIKI KAISHA
    1, Toyota-cho, Toyota-shi, 
    Aichi-ken, 471-8571,
    JAPAN"
W00201102671,IDP000034545,13 Sep 2013,(PA) Diberi Paten,2012/00444,26-Jan-12,22-Jul-11,24-Dec-09,"2008-328830 24 Dec 2008 JP
","H01M 10/46,H02J 7/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201400612,IDP000064184,31 Oct 2019,(PA) Diberi Paten,2015/04980,6-Nov-15,4-Aug-11,4-Aug-11,"- - -
","F01N 3/00,F01N 3/02,G01N 27/02",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201103131,IDP000040950,26 Apr 2016,(PA) Diberi Paten,2012/01162,8-Mar-12,5-Sep-11,8-Mar-10,"2009-053796 06 Mar 2009 JP
","B01J 27/199,C13K 1/02,C13K 1/04",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201401762,IDP000063906,23 Oct 2019,(PA) Diberi Paten,2015/03180,24-Jul-15,5-Oct-11,5-Oct-11,"- - -
","F16F 15/126,F16F 15/30",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201200074,IDP000038809,17 Jun 2015,(PA) Diberi Paten,2012/01927,12-Apr-12,6-Jan-12,7-Jul-10,"2009-160620 07 Jul 2009 JP
",C12Q 1/68,TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201200248,IDP000041334,16 May 2016,(PA) Diberi Paten,2012/04716,25-Oct-12,20-Jan-12,23-Jul-09,"- - -
","B01D 50/00,B01J 23/00,F01N 3/00,F01N 3/02",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201203166,IDP000036366,16 Jul 2014,(PA) Dihapuskan,2012/04274,25-Oct-12,6-Aug-12,28-Jan-11,"- - -
","B21D 37/02,B21D 37/20,B22C 7/02,B22C 9/04",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201204258,IDP000037292,20 Nov 2014,(PA) Dihapuskan,2013/00350,28-Feb-13,19-Oct-12,28-Jan-11,"- - -
",G06F 17/50,TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201205146,IDP000043018,11 Oct 2016,(PA) Diberi Paten,2013/01215,25-Apr-13,12-Dec-12,14-May-10,"- - -
","C12N 1/19,C12N 15/09,C12P 7/04",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201205345,IDP000039666,19 Oct 2015,(PA) Masa Tenggang Dihapuskan,2013/02237,27-Jun-13,21-Dec-12,14-Oct-11,"2010-262634 25 Nov 2010 JP
","B60K 35/00,G01D 11/28,G09F 13/18","2. TOYOTA JIDOSHA KABUSHIKI KAISHA
1. DENSO CORPORATION"
W00201300352,,28 Jan 2013,(PA) Ditarik Kembali oleh Pemohon,2013/02768,25-Jul-13,,-,"2010-172897 30 Jul 2010 JP
","B61B 13/04,B65G 19/02",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201300706,IDP000039171,13 Jul 2015,(PA) Diberi Paten,2013/03211,29-Aug-13,18-Feb-13,11-Aug-11,"2010-184857 20 Aug 2010 JP
",G08G 1/16,TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201300940,,04 Mar 2013,(PA) Ditarik Kembali oleh Pemohon,2014/00013,9-Jan-14,,-,"2010-177502 06 Aug 2010 JP
",F02F 11/00,"1. NIPPON GASKET Co., Ltd. 2. TOYOTA JIDOSHA KABUSHIKI KAISHA"
W00201300951,IDP000060034,21 Jun 2019,(PA) Diberi Paten,2013/03935,14-Nov-13,4-Mar-13,22-Dec-10,"- - -
","B21D 37/10,B21D 37/12",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201301264,,25 Mar 2013,(PA) Dianggap Ditarik Kembali (Direktur),2014/00089,23-Jan-14,,-,"- - -
",B60N 2/42,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201300239,IDP000055856,15 Jan 2019,(PA) Diberi Paten,2013/03762,31-Oct-13,28-Mar-13,28-Mar-13,"JP2012-089110 10 Apr 2012 JP
",B60H 1/32,"1. DAIHATSU MOTOR CO., LTD. 
2. TOYOTA JIDOSHA KABUSHIKI KAISHA
3. FUJITSU TEN LIMITED"
W00201301446,IDP000054056,16 Oct 2018,(PA) Diberi Paten,2013/04711,12-Dec-13,5-Apr-13,4-Oct-11,"2010-227228 07 Oct 2010 JP
","F02F 11/00,F16J 15/08","1. NIPPON GASKET CO., LTD
2. TOYOTA JIDOSHA KABUSHIKI KAISHA"
P00201500105,IDP000055836,14 Jan 2019,(PA) Diberi Paten,2016/06797,23-Dec-16,11-Apr-13,11-Apr-13,"2012-142332 25 Jun 2012 JP
",B22C 15/02,"2. TOYOTA JIDOSHA KABUSHIKI KAISHA
1. SINTOKOGIO, LTD."
W00201302256,,24 May 2013,(PA) Ditarik Kembali oleh Pemohon,2013/04702,12-Dec-13,,-,"2010-299509 26 Oct 2010 JP
",F02F 11/00,"1. NIPPON GASKET Co., Ltd. 2. TOYOTA JIDOSHA KABUSHIKI KAISHA"
W00201302891,IDP000051392,30 May 2018,(PA) Diberi Paten,2014/01320,5-Jun-14,26-Jun-13,28-Oct-11,"2010-292630 28 Dec 2010 JP
","C10B 53/02,C10B 57/02,C10C 5/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201303342,IDP000054116,16 Oct 2018,(PA) Diberi Paten,2014/04730,27-Nov-14,19-Jul-13,20-Jan-11,"- - -
","C12N 1/19,C12N 15/09,C12P 7/04",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201303982,,30 Aug 2013,(PA) Ditarik Kembali oleh Pemohon,2014/02839,28-Aug-14,,-,"- - -
","F01N 3/20,F02D 19/06,F02D 19/08",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201304179,IDP000041136,26 May 2016,(PA) Dihapuskan,2014/04027,23-Oct-14,11-Sep-13,12-Mar-10,"- - -
","F01N 3/24,F02D 19/06,F02D 41/02",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201304180,,11 Sep 2013,(PA) Dianggap Ditarik Kembali (Formalitas),2014/02144,3-Jul-14,,-,"- - -
","F01N 3/08,F02D 19/06",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201304338,,20 Sep 2013,(PA) Persetujuan Direktur untuk Ditarik Kembali,2016/00219,22-Jan-16,,-,"- - -
","F01N 3/20,F02D 19/06,F02D 45/00",TOYOTA JIDOSHA  KABUSHIKI KAISHA
W00201304339,IDP000051726,09 Jul 2018,(PA) Diberi Paten,2014/02453,17-Jul-14,20-Sep-13,23-Mar-10,"- - -
","F04D 29/02,F04D 29/30",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201304340,IDP000053321,07 Sep 2018,(PA) Diberi Paten,2014/04420,6-Nov-14,20-Sep-13,24-Feb-11,"- - -
","F02D 19/08,F02D 41/04",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201304672,,09 Oct 2013,(PA) Ditarik Kembali oleh Pemohon,2014/02208,3-Jul-14,,-,"- - -
","F02D 19/08,F02M 21/02,F02M 25/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201304994,IDP000044518,24 Feb 2017,(PA) Diberi Paten,2014/03191,11-Sep-14,28-Oct-13,26-Mar-12,"2011-076715 30 Mar 2011 JP
",C12N 1/19,TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201305099,IDP000043548,24 Nov 2016,(PA) Diberi Paten,2014/03426,25-Sep-14,1-Nov-13,11-Apr-11,"- - -
",F02F 1/36,TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201305272,IDP000046541,20 Jun 2017,(PA) Diberi Paten,2015/05371,27-Nov-15,12-Nov-13,8-May-12,"2011-107907 13 May 2011 JP
","B60R 19/24,B60R 19/34,B62D 21/15",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201305465,IDP000056849,22 Feb 2019,(PA) Diberi Paten,2015/03769,28-Aug-15,22-Nov-13,18-May-12,"2011-117116 25 May 2011 JP
",B01J 23/00,"NATIONAL UNIVERSITY CORPORATION KUMAMOTO UNIVERSITY
TOYOTA JIDOSHA KABUSHIKI KAISHA"
W00201305486,IDP000049646,14 Feb 2018,(PA) Diberi Paten,2014/04783,27-Nov-14,25-Nov-13,26-May-11,"- - -
",F02D 29/02,TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201305681,IDP000061526,19 Aug 2019,(PA) Diberi Paten,2014/05233,30-Dec-14,6-Dec-13,9-Jun-11,"- - -
",H02K 1/27,TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201305726,,09 Dec 2013,(PA) Pemeriksa Substantif,2014/04044,23-Oct-14,,-,"- - -
",B60W 10/06,TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201305752,IDP000058890,17 May 2019,(PA) Dihapuskan,2015/03785,28-Aug-15,10-Dec-13,18-May-11,"- - -
","A47C 7/46,B60N 2/42,B60N 2/44,B60R 21/207",TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201305863,IDP000048821,13 Dec 2017,(PA) Diberi Paten,2015/03719,28-Aug-15,17-Dec-13,11-Jul-11,"- - -
",F02D 45/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
W00201305962,IDP000053223,05 Sep 2018,(PA) Diberi Paten,2015/03595,14-Aug-15,20-Dec-13,31-May-12,"2011-140237 24 Jun 2011 JP
","B01D 53/94,B01J 23/63,F01N 3/10,F01N 3/28",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201400266,,17 Jan 2014,(PA) Ditarik Kembali oleh Pemohon,2015/00435,13-Feb-15,,-,"- - -
",B60K 6/365,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201400564,IDP000055278,17 Dec 2018,(PA) Diberi Paten,2015/01462,24-Apr-15,30-Jan-14,2-Aug-11,"- - -
",G08G 1/16,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201400567,IDP000051918,10 Jul 2018,(PA) Dihapuskan,2015/01076,27-Mar-15,30-Jan-14,1-Aug-11,"- - -
",F02M 59/46,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201400608,IDP000050901,02 May 2018,(PA) Diberi Paten,2015/00914,20-Mar-15,3-Feb-14,3-Aug-11,"- - -
","F15B 13/04,F16H 61/00,F16K 11/02,F16K 11/07,F16K 3/24",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201400685,,06 Feb 2014,(PA) Ditarik Kembali oleh Pemohon,2015/05003,6-Nov-15,,-,"- - -
","F01N 3/08,F01N 3/20",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201400811,,13 Feb 2014,(PA) Ditarik Kembali oleh Pemohon,2015/01259,2-Apr-15,,-,"- - -
",F16D 25/12,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201400961,IDP000047247,09 Aug 2017,(PA) Diberi Paten,2015/04970,6-Nov-15,21-Feb-14,22-Aug-12,"2011-183085 24 Aug 2011 JP
","B23P 19/06,B25B 21/00","1. TOYOTA JIDOSHA KABUSHIKI KAISHA
2. GIKEN INDUSTRIAL CO., LTD."
P00201400966,IDP000060931,19 Jul 2019,(PA) Diberi Paten,2015/04624,23-Oct-15,21-Feb-14,31-Aug-11,"- - -
",B60W 10/06,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201401083,IDP000060360,05 Jul 2019,(PA) Diberi Paten,2015/01541,24-Apr-15,26-Feb-14,30-Aug-11,"- - -
","H01L 21/8234,H01L 27/04,H01L 27/06,H01L 27/088,H01L 29/739,H01L 29/78",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201401091,IDP000051378,30 May 2018,(PA) Diberi Paten,2015/05543,11-Dec-15,26-Feb-14,13-Jun-12,"2011-186131 29 Aug 2011 JP
","C01B 25/45,H01M 4/58",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201505239,IDP000063800,22 Oct 2019,(PA) Diberi Paten,2017/00544,3-Feb-17,27-Feb-14,27-Feb-14,"2014-036652 27 Feb 2014 JP
","C12N 1/19,C12N 15/09,C12P 7/06",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201401213,,28 Feb 2014,(PA) Persetujuan Direktur untuk Ditarik Kembali,2015/01333,10-Apr-15,,-,"2011-188861 31 Aug 2011 JP
","B60H 1/34,F24F 13/12","HOWA PLASTICS CO., LTD.
TOYOTA JIDOSHA KABUSHIKI KAISHA"
P00201401277,IDP000048042,09 Oct 2017,(PA) Diberi Paten,2015/04843,30-Oct-15,5-Mar-14,7-Sep-11,"- - -
","G01K 7/02,H01L 27/04,H01L 29/78,H01L 35/20,H01L 35/34",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201401279,IDP000055571,07 Jan 2019,(PA) Diberi Paten,2015/03580,14-Aug-15,5-Mar-14,6-Sep-11,"- - -
","B60K 6/48,B60K 6/547,B60W 10/02,B60W 10/06,B60W 10/08,B60W 20/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201401442,,12 Mar 2014,(PA) Ditarik Kembali oleh Pemohon,2015/04505,9-Oct-15,,-,"2011-198812 12 Sep 2011 JP
","C25D 11/18,F02F 1/00,F02F 3/14",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201401457,IDP000059817,19 Jun 2019,(PA) Diberi Paten,2015/03081,10-Jul-15,13-Mar-14,4-Nov-11,"- - -
","B60L 11/18,H02J 3/32,H02J 7/00,H02J 9/06",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201401766,IDP000053576,20 Sep 2018,(PA) Diberi Paten,2015/03657,21-Aug-15,26-Mar-14,28-Sep-11,"- - -
","H01L 21/336,H01L 29/739,H01L 29/78",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201401816,IDP000049086,11 Jan 2018,(PA) Dihapuskan,2015/04941,6-Nov-15,27-Mar-14,31-Aug-11,"- - -
","B60R 21/00,B62D 101/00,B62D 113/00,B62D 119/00,B62D 5/04,B62D 6/00,B62D 7/14,G01C 21/26",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201401881,,01 Apr 2014,(PA) Ditarik Kembali oleh Pemohon,2016/00303,29-Jan-16,,-,"- - -
",B60W 30/08,TOYOTA JIDOSHA KABUSHtKI KAISHA
P00201402071,IDP000049607,14 Feb 2018,(PA) Diberi Paten,2015/02034,29-May-15,10-Apr-14,5-Oct-12,"2011-224198 11 Oct 2011 JP
","F16H 55/06,F16H 57/04",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201402264,,17 Apr 2014,(PA) Ditarik Kembali oleh Pemohon,2015/02256,5-Jun-15,,-,"- - -
","F16H 55/49,F16H 9/12,F16H 9/18",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201402369,,23 Apr 2014,(PA) Ditarik Kembali oleh Pemohon,2015/02679,26-Jun-15,,-,"- - -
","F02D 21/10,F02D 23/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201402397,IDP000053705,28 Sep 2018,(PA) Diberi Paten,2015/02339,12-Jun-15,24-Apr-14,7-Oct-11,"- - -
","B60L 11/18,H01M 10/44,H02J 7/00,H02J 7/04,H02J 7/10","SUBARU CORPORATION
TOYOTA JIDOSHA KABUSHIKI KAISHA"
P00201402602,,02 May 2014,(PA) Persetujuan Direktur untuk Ditarik Kembali,2015/02560,19-Jun-15,,-,"2011-242686 04 Nov 2011 JP
","H01M 4/86,H01M 8/02,H01M 8/10",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201402966,,21 May 2014,(PA) Ditarik Kembali oleh Pemohon,2016/00959,7-Mar-16,,-,"- - -
",B62D 21/00,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201403005,IDP000045422,18 Apr 2017,(PA) Diberi Paten,2015/03157,24-Jul-15,23-May-14,7-Dec-11,"- - -
","B60R 13/02,B60R 16/02,B62D 25/04,B62D 25/20",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201403066,IDP000060833,17 Jul 2019,(PA) Menunggu Respon Dihapuskan,2015/05379,27-Nov-15,26-May-14,27-Nov-12,"2011-259311 28 Nov 2011 JP
",B22C 1/18,"2. SINTOKOGIO, LTD.
1. TOYOTA JIDOSHA KABUSHIKI KAISHA"
P00201403307,IDP000061054,25 Jul 2019,(PA) Diberi Paten,2015/03290,7-Aug-15,6-Jun-14,8-Dec-11,"- - -
","F02D 41/30,F02M 51/00",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201403470,,13 Jun 2014,(PA) Persetujuan Kasubdit Pemeriksa Untuk Komunikasi,2015/03266,31-Jul-15,,-,"- - -
","B60K 11/04,B60R 19/24,B60R 19/34,B62D 25/08",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201403475,,13 Jun 2014,(PA) Ditarik Kembali oleh Pemohon,2015/03297,7-Aug-15,,-,"- - -
","G06F 3/041,G06F 3/048",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201403595,IDP000046719,10 Jul 2017,(PA) Diberi Paten,2015/03937,4-Sep-15,19-Jun-14,4-Jun-12,"2011-278308 20 Dec 2011 JP
","B60L 11/14,B60W 10/02,B60W 10/06,B60W 10/08,B60W 20/00,F02D 29/02,F02D 29/06,B60K 6/448,B60K 6/547",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201403596,,19 Jun 2014,(PA) Persetujuan Direktur untuk Ditarik Kembali,2016/02616,8-Apr-16,,-,"- - -
",F16D 55/224,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201403597,IDP000065602,16 Dec 2019,(PA) Diberi Paten,2015/03383,7-Aug-15,19-Jun-14,19-Dec-11,"- - -
","F01P 3/18,F01P 7/16,F02M 25/07",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201403633,IDP000055484,02 Jan 2019,(PA) Diberi Paten,2015/03501,14-Aug-15,20-Jun-14,22-Nov-11,"- - -
","F02D 19/02,F02D 41/04",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201403645,IDP000054170,24 Oct 2018,(PA) Penghapusan,2015/04002,11-Sep-15,20-Jun-14,19-Dec-12,"2012-064981 22 Mar 2012 JP
","F02D 13/02,F02D 19/02,F02D 21/08,F02D 41/06,F02D 41/38,F02D 41/40,F02P 5/15",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201403652,,20 Jun 2014,(PA) Ditarik Kembali oleh Pemohon,2015/03997,11-Sep-15,,-,"- - -
","F16D 13/64,F16F 15/121",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201403712,,23 Jun 2014,(PA) Dianggap Ditarik Kembali (Direktur),2015/05265,20-Nov-15,,-,"2011-279029 20 Dec 2011 JP
","C01B 3/22,C10J 3/00","BIOMASS ENERGY CORPORATION
TOYOTA JIDOSHA KABUSHIKI KAISHA
NAGASAKI INSTITUTE OF APPLIED SCIENCE"
P00201403812,IDP000056988,06 Mar 2019,(PA) Diberi Paten,2015/03543,14-Aug-15,26-Jun-14,26-Dec-12,"2011-288798 28 Dec 2011 JP
","B01D 53/94,B01J 23/00,B01J 23/63,B01J 23/83,B01J 23/89,B01J 35/04,B01J 37/02",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201403814,IDP000050005,07 Mar 2018,(PA) Diberi Paten,2015/03511,14-Aug-15,26-Jun-14,19-Dec-12,"2011-286694 27 Dec 2011 JP
","B23K 26/22,B23K 26/32",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201404379,IDP000056439,08 Feb 2019,(PA) Diberi Paten,2015/04297,2-Oct-15,18-Jul-14,17-Apr-12,"- - -
",B60R 21/207,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201404620,IDP000055194,13 Dec 2018,(PA) Menunggu Respon Dihapuskan,2015/04191,18-Sep-15,4-Aug-14,1-Feb-12,"- - -
","B60K 6/365,B60K 6/387,B60K 6/445,B60K 6/547,B60W 10/111,B60W 20/00,F16H 3/72",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201404703,IDP000045823,15 May 2017,(PA) Diberi Paten,2016/00595,12-Feb-16,7-Aug-14,10-Jan-12,"- - -
","B65G 35/00,B65G 47/52,G05D 1/02",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201405192,IDP000056305,30 Jan 2019,(PA) Diberi Paten,2016/01220,11-Mar-16,1-Sep-14,4-Mar-13,"2012-046539 02 Mar 2012 JP
","C12N 15/81,C12P 1/02,C12P 7/06","JX NIPPON OIL & ENERGY CORPORATION
YAMAGUCHI UNIVERSITY
TOYOTA JIDOSHA KABUSHIKI KAISHA"
P00201405620,IDP000046491,19 Jun 2017,(PA) Dihapuskan,2016/02046,25-Mar-16,19-Sep-14,21-Mar-12,"- - -
","F02D 41/22,F02D 45/00,F02P 5/15,F02P 5/152,F02P 5/153",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201405624,,19 Sep 2014,(PA) Dianggap Ditarik Kembali (Direktur),2016/01305,11-Mar-16,,-,"2012-063774 21 Mar 2012 JP
","B01D 53/94,B01J 23/00,B01J 23/46",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201405694,IDP000047635,07 Sep 2017,(PA) Diberi Paten,2016/01678,18-Mar-16,23-Sep-14,23-Mar-12,"- - -
","F02B 31/02,F02D 13/02",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201405722,IDP000058313,03 May 2019,(PA) Diberi Paten,2016/01527,18-Mar-16,24-Sep-14,26-Feb-13,"2012-040141 27 Feb 2012 JP
","C12N 15/09,C12N 9/02,C12P 5/02",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201602941,IDP000063324,08 Oct 2019,(PA) Diberi Paten,2017/05783,2-Jun-17,17-Oct-14,17-Oct-14,"2013-228346 01 Nov 2013 JP
","F01N 3/08,F01N 3/20,F02D 41/14",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201406416,IDP000059043,22 May 2019,(PA) Diberi Paten,2015/01626,30-Apr-15,22-Oct-14,26-Mar-13,"2012-069850 26 Mar 2012 JP
","A01H 1/02,C12N 15/09,C12Q 1/68",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201406941,,10 Nov 2014,(PA) Ditarik Kembali oleh Pemohon,2016/03178,29-Apr-16,,-,"PCT/JP2012/063173 23 May 2012 JP
",F16H 37/02,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201407315,IDP000050566,09 Apr 2018,(PA) Diberi Paten,2016/01862,25-Mar-16,24-Nov-14,23-Apr-13,"2012-099723 25 Apr 2012 JP
","A47C 7/00,A47C 7/32,D01F 8/14,D03D 15/00,D03D 15/08","TORAY INDUSTRIES, INC.
TOYOTA JIDOSHA KABUSHIKI KAISHA"
P00201407798,IDP000052821,21 Aug 2018,(PA) Diberi Paten,2015/04384,2-Oct-15,11-Dec-14,11-Dec-14,"2013-256641 12 Dec 2013 JP
","F01M 11/00,F01M 13/00,F01M 13/04","TOYOTA JIDOSHA KABUSHIKI KAISHA
DAlHATSU MOTOR CO., LTD."
P00201407882,,15 Dec 2014,(PA) Persetujuan Direktur untuk Ditarik Kembali,2015/01833,8-May-15,,-,"- - -
","F16D 48/02,F16H 61/02",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201408023,IDP000055339,18 Dec 2018,(PA) Dihapuskan,2015/04029,11-Sep-15,19-Dec-14,22-May-12,"- - -
","B01D 50/00,F01N 3/023,F01N 3/08,F01N 3/24",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201408185,IDP000057833,08 Apr 2019,(PA) Diberi Paten,2016/05956,4-Nov-16,24-Dec-14,6-Sep-13,"2012-218205 28 Sep 2012 JP
",B62D 35/02,TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201500001,IDP000052108,01 Aug 2018,(PA) Diberi Paten,2017/02161,10-Mar-17,2-Jan-15,1-Jul-13,"2012-258918 27 Nov 2012 JP
","A47C 7/38,B60N 2/48",TOYOTA JIDOSHA KABUSHIKI KAISHA
P00201500283,IDP000055669,08 Jan 2019,(PA) Diberi Paten,2016/04380,22-Jul-16,19-Jan-15,13-Jun-13,"JP 2012-160476 19 Jul 2012 JP
","B60R 21/207,B60R 21/239,B60R 21/2338,B60R 21/2346",TOYOTA JIDOSHA KABUSHIKI KAISHA
